x0,y0,ODIL_loss
0.6,0.4,0.00011576965525224261
0.6,0.45,0.0001592493902077737
0.6,0.5,0.00017734001663947453
0.6,0.55,0.0002767876267420289
0.6,0.6,0.0003123366872277224
0.6,0.65,0.0002941709337879534
0.6,0.7,0.00034178591254452307
0.6,0.75,0.0003287238009893245
0.6,0.8,0.0003029294951903544
0.6,0.85,0.0003359815872389189
0.6,0.9,0.0003520518017667487
0.6,0.95,0.000308996627945097
0.65,0.05,0.0001705670978016962
0.65,0.1,0.0001266183821460305
0.65,0.15,0.00011367965050220843
0.65,0.2,9.989291679357641e-05
0.65,0.25,8.111300567412414e-05
0.65,0.3,5.076253253210096e-05
0.65,0.35,4.173536645041571e-05
0.65,0.4,0.00010963827836229905
0.65,0.45,0.0001459052420213059
0.65,0.5,0.0001975628691592069
0.65,0.55,0.00028227886773733203
0.65,0.6,0.0003153608034936085
0.65,0.65,0.0003123607376478486
0.65,0.7,0.00034193772281240374
0.65,0.75,0.00033485809004381404
0.65,0.8,0.0003171397211493239
0.65,0.85,0.0003154709883913616
0.65,0.9,0.0003044449140721015
0.65,0.95,0.00029047959911285515
0.7,0.05,0.0001726941281282876
0.7,0.1,0.0001452978087255093
0.7,0.15,0.00012791779025846632
0.7,0.2,0.000116865144366468
0.7,0.25,9.976354482759759e-05
0.7,0.3,5.77802739756118e-05
0.7,0.35,7.981437568290597e-05
0.7,0.4,0.00012942447289309727
0.7,0.45,0.00016931256569072782
0.7,0.5,0.000246938889443233
0.7,0.55,0.0003033509824750491
0.7,0.6,0.0002936822978891908
0.7,0.65,0.0002911383916394941
0.7,0.7,0.00030665753743807
0.7,0.75,0.0003108741450814463
0.7,0.8,0.0003131179086020318
0.7,0.85,0.0003121520466475058
0.7,0.9,0.00029926928952612086
0.7,0.95,0.00027368623960856577
0.75,0.05,0.0001803423707145665
0.75,0.1,0.0001577909641780092
0.75,0.15,0.000139931084631243
0.75,0.2,0.00013764400077140459
0.75,0.25,0.0001243499319240178
0.75,0.3,0.0001235754614737416
0.75,0.35,0.0001531311721819264
0.75,0.4,0.000183559424546412
0.75,0.45,0.0002286474431149547
0.75,0.5,0.0002865145913155916
0.75,0.55,0.0003073329544996915
0.75,0.6,0.00029543403851105265
0.75,0.65,0.00029953187301197544
0.75,0.7,0.000300457521345363
0.75,0.75,0.0002967697503686012
0.75,0.8,0.0003092830411788787
0.75,0.85,0.0003198716693956733
0.75,0.9,0.0003961125856827972
0.75,0.95,0.0003249061962323523
0.8,0.05,0.0002209260101767948
0.8,0.1,0.00019903091547337782
0.8,0.15,0.0001830045705240627
0.8,0.2,0.0001932202933329964
0.8,0.25,0.0002057682173889711
0.8,0.3,0.000222505227488309
0.8,0.35,0.0002498238279738117
0.8,0.4,0.0002771859141869356
0.8,0.45,0.0003068079817275542
0.8,0.5,0.00030904305073400993
