t,bead0x,bead0y,bead0z,bead1x,bead1y,bead1z,omega0,omega1,omega2,omega3,omega4,policy,input0,input1
42.4699,0.32349,0.692107,0.469434,0.33248,0.32563,0.472333,-0.0238858,0.664029,-0.781508,-0.854415,-0.0505081,3,1,0
42.7625,0.321884,0.690947,0.4764,0.328504,0.325797,0.465405,-0.227734,0.963362,-0.858641,-0.894098,0.0979183,3,1,0
42.9899,0.319119,0.690923,0.482807,0.328327,0.325921,0.464588,-0.294384,0.924396,-0.73267,-0.918151,0.207085,3,1,0
43.2585,0.31583,0.689328,0.482683,0.326828,0.326244,0.472816,-0.0761574,0.573665,-0.75818,-0.941106,0.0197281,3,1,0
43.5536,0.313783,0.686867,0.482561,0.324704,0.321054,0.468545,-0.130525,0.941561,-0.893995,-0.942483,-0.169301,3,1,0
43.8185,0.309883,0.687985,0.488412,0.325834,0.320137,0.468324,-0.17127,0.407057,-0.781411,-0.967539,-0.324446,3,1,0
44.1199,0.308354,0.686836,0.495289,0.32394,0.317777,0.469929,-0.346673,0.330162,-0.626766,-0.9806,-0.320771,3,1,0
44.4118,0.309586,0.685979,0.495295,0.323261,0.316687,0.48601,-0.0574869,-0.80475,-0.441954,-0.945084,-0.767777,3,1,0
44.7064,0.308354,0.686836,0.495289,0.321165,0.319172,0.477581,-0.252047,-0.283599,-0.630776,-0.981802,-0.187996,3,1,0
45.0069,0.311806,0.687724,0.509082,0.316855,0.318769,0.47879,-0.818525,0.981912,-0.0922909,-0.902349,0.292583,3,1,0
45.3039,0.310086,0.687281,0.502209,0.318482,0.318285,0.471341,-0.645281,0.967269,-0.436667,-0.974112,0.339699,3,1,0
45.4643,0.311314,0.686427,0.502217,0.316417,0.316066,0.472214,-0.707131,0.991725,-0.519948,-0.956019,0.475107,3,1,0
45.7949,0.310455,0.682864,0.502643,0.319046,0.313989,0.473408,-0.734159,0.991276,-0.514092,-0.954435,-0.0222017,3,1,0
46.091,0.306699,0.679948,0.495675,0.32017,0.313077,0.473199,-0.461435,0.963977,-0.836581,-0.970983,-0.573946,3,1,0
46.3888,0.30292,0.677006,0.488695,0.319104,0.309325,0.482806,-0.0756813,0.979878,-0.96083,-0.905125,-0.954034,3,1,0
46.6849,0.30292,0.677006,0.488695,0.320006,0.310119,0.505041,0.592824,0.551848,-0.718857,0.338428,-0.99944,3,1,0
46.9825,0.30131,0.682318,0.48823,0.316501,0.312916,0.504755,0.680767,-0.263682,-0.750086,0.0739617,-0.997015,3,1,0
47.2809,0.307845,0.685527,0.488325,0.319084,0.318421,0.501637,0.313965,-0.951226,-0.450644,-0.905569,-0.931239,3,1,0
47.5764,0.311923,0.69044,0.488518,0.31767,0.326318,0.505433,0.510293,-0.982372,-0.293635,-0.88864,-0.339336,3,1,0
47.9761,0.316167,0.694586,0.502592,0.312165,0.330217,0.47447,-0.643822,0.972321,-0.193775,-0.952749,0.949268,3,1,0
48.237,0.316712,0.696119,0.508967,0.311315,0.33391,0.480469,-0.798027,0.544443,0.419534,-0.945772,0.996407,3,1,0
48.5333,0.315245,0.695221,0.515201,0.312452,0.330826,0.466395,-0.93512,0.991019,-0.0935161,-0.929162,0.900828,3,1,0
48.8336,0.313825,0.690152,0.509198,0.32119,0.326871,0.473394,-0.69595,0.847336,-0.0400984,-0.933785,0.411333,3,1,0
49.1261,0.308063,0.684841,0.50212,0.325834,0.320137,0.468324,-0.578616,0.571619,-0.365311,-0.985831,-0.239784,3,1,0
49.5207,0.304297,0.681933,0.495147,0.329194,0.31441,0.462642,-0.35052,0.351714,-0.799062,-0.978949,-0.869913,3,1,0
49.8215,0.302271,0.679477,0.495105,0.330196,0.317979,0.491015,-0.00461726,-0.969128,-0.641493,-0.958868,-0.997347,3,1,0
50.1562,0.304297,0.681933,0.495147,0.326661,0.320806,0.490754,0.000900054,-0.976972,-0.590733,-0.970373,-0.978627,3,1,0
50.4485,0.30539,0.684829,0.508387,0.323363,0.32642,0.496247,-0.585297,-0.981784,0.381703,-0.96594,-0.864394,3,1,0
50.7195,0.307406,0.687263,0.508465,0.322583,0.327909,0.48855,-0.566272,-0.982735,0.192675,-0.976971,0.086204,3,1,0
50.9754,0.307694,0.689259,0.501685,0.321533,0.331719,0.49373,-0.184135,-0.985445,-0.128095,-0.983076,0.727148,3,1,0
51.2707,0.310648,0.688843,0.508572,0.323917,0.334554,0.485047,-0.499256,-0.976469,0.132518,-0.978272,0.714615,3,1,0
51.5709,0.310948,0.690844,0.501798,0.327464,0.331712,0.485263,-0.163438,-0.985289,-0.185769,-0.970595,0.203533,3,1,0
51.8657,0.30567,0.686819,0.501596,0.325931,0.329959,0.478851,-0.314418,-0.949252,-0.469853,-0.993965,0.174655,3,1,0
52.1674,0.303006,0.6868,0.507865,0.331771,0.330079,0.469575,-0.460615,-0.960949,-0.253418,-0.992586,-0.31348,3,1,0
52.4601,0.303006,0.6868,0.507865,0.330258,0.330381,0.477738,0.16238,0.800303,-0.906453,-0.982261,-0.342056,3,0,1
52.6879,0.302738,0.684816,0.514616,0.330258,0.330381,0.477738,0.274326,0.894383,-0.916515,-0.967966,-0.368402,3,0,1
53.1243,0.300591,0.692709,0.519938,0.326928,0.336014,0.483331,0.28066,0.859692,-0.929348,-0.965715,-0.140318,3,0,1
53.5496,0.30457,0.694786,0.539995,0.322593,0.340422,0.475442,0.616559,0.987333,-0.955668,-0.708138,-0.666903,3,0,1
53.8174,0.306001,0.693225,0.553041,0.321065,0.346482,0.46483,0.713948,0.996313,-0.967446,-0.283193,-0.909764,3,0,1
54.1453,0.312222,0.69363,0.572468,0.317428,0.3514,0.478434,0.806246,0.997238,-0.967622,0.00428398,-0.88562,3,0,1
54.4079,0.316156,0.692147,0.579316,0.314747,0.358436,0.468163,0.824269,0.998473,-0.977664,0.237145,-0.960622,3,0,1
54.7051,0.322153,0.689214,0.574465,0.311183,0.367254,0.450043,0.817834,0.998923,-0.986838,0.309023,-0.986303,3,0,1
55.0361,0.324524,0.687565,0.574553,0.306491,0.380883,0.460124,0.852796,0.998988,-0.990484,0.332521,-0.985856,3,0,1
55.3,0.328268,0.686512,0.569166,0.303172,0.392634,0.448057,0.8535,0.999193,-0.994484,0.272606,-0.992624,3,0,1
55.5674,0.330562,0.684613,0.569633,0.300983,0.403628,0.435717,0.85935,0.999334,-0.996337,0.199836,-0.995055,3,0,1
55.8613,0.335535,0.682713,0.564285,0.295869,0.421178,0.42219,0.867926,0.999431,-0.998416,-0.0772091,-0.99703,3,0,1
56.1559,0.337835,0.680809,0.564752,0.291467,0.435835,0.424796,0.892887,0.999479,-0.999099,-0.178103,-0.997414,3,0,1
56.4507,0.342877,0.678538,0.571697,0.287113,0.458644,0.401491,0.906204,0.999576,-0.99954,-0.312619,-0.998447,3,0,1
56.7833,0.346266,0.675582,0.572565,0.286349,0.476018,0.418728,0.927502,0.99959,-0.999624,-0.155857,-0.997735,3,0,1
57.0504,0.347453,0.674748,0.572608,0.282014,0.499379,0.396175,0.925718,0.99964,-0.999747,-0.30091,-0.998789,3,0,1
57.3443,0.35358,0.671753,0.567689,0.282429,0.523133,0.396348,0.93384,0.999665,-0.999747,-0.17155,-0.998857,3,0,1
