t,bead0x,bead0y,bead0z,bead1x,bead1y,bead1z,omega0,omega1,omega2,omega3,omega4,policy,input0,input1,rot
38.6759,0.656934,0.317321,0.489803,0.336275,0.308483,0.501613,-0.98139,-0.564911,0.683579,-0.842972,0.997532,3,0,1,1
38.9711,0.662518,0.323221,0.496319,0.344065,0.30607,0.500737,-0.945335,-0.660824,0.438981,-0.582768,-0.92591,3,0,1,1
39.268,0.664845,0.327564,0.502848,0.355383,0.302551,0.484936,-0.00590853,-0.994727,-0.52227,-0.961374,-0.999897,3,0,1,1
39.5648,0.665999,0.32658,0.502812,0.354741,0.303942,0.477095,-0.181958,-0.997296,-0.666109,-0.905374,-0.999901,3,0,1,1
39.8621,0.662518,0.323221,0.496319,0.346958,0.304109,0.463313,-0.849523,-0.999411,-0.851628,-0.625538,-0.999893,3,0,1,1
40.1296,0.654912,0.32115,0.496368,0.338056,0.310385,0.470396,-0.917799,-0.9989,-0.834298,-0.867809,-0.999357,3,0,1,1
40.4234,0.646778,0.314848,0.468761,0.328828,0.313878,0.470764,-0.996886,-0.98848,-0.00698213,-0.87408,0.847616,3,0,1,1
40.7166,0.639848,0.309866,0.462303,0.320416,0.315925,0.479067,-0.994564,-0.97069,0.319511,-0.990119,0.971137,3,0,1,1
41.0172,0.63906,0.312824,0.469314,0.322261,0.315082,0.509707,-0.993666,-0.21689,0.933163,-0.962179,0.9994,3,0,1,1
41.3134,0.645346,0.309904,0.476656,0.329994,0.312683,0.508753,-0.994826,-0.175574,0.954996,-0.910718,0.99964,3,0,1,1
41.6123,0.651034,0.315845,0.483091,0.340546,0.308875,0.500398,-0.982537,-0.621241,0.763542,-0.964368,0.998079,3,0,1,1
41.9133,0.658139,0.322677,0.496353,0.352965,0.304482,0.48455,-0.841805,-0.996997,-0.426603,-0.973677,-0.999749,3,0,1,1
42.2028,0.665132,0.323201,0.50331,0.360596,0.304032,0.467233,-0.689161,-0.999331,-0.77311,-0.926084,-0.999952,3,0,1,1
42.5017,0.664279,0.323789,0.489253,0.358302,0.305861,0.467363,-0.95632,-0.999462,-0.628625,-0.728404,-0.999922,3,0,1,1
42.7664,0.659005,0.319847,0.489874,0.351799,0.310171,0.47476,-0.974906,-0.998686,-0.384954,-0.963031,-0.999243,3,0,1,1
43.0635,0.648679,0.317775,0.482858,0.342155,0.313124,0.483103,-0.969,-0.944477,0.249574,-0.992802,0.97531,3,0,1,1
43.3624,0.643375,0.313834,0.483653,0.334123,0.31569,0.483369,-0.968602,-0.939897,0.10267,-0.991238,0.991086,3,0,1,1
43.6565,0.644544,0.31284,0.48356,0.335749,0.312708,0.499616,-0.6311,-0.902952,0.164091,0.846396,1,3,0,1,2
43.9547,0.649313,0.315308,0.490254,0.342855,0.311701,0.490928,-0.746095,-0.91487,0.160314,0.815412,1,3,0,1,2
44.2515,0.653756,0.322134,0.496404,0.348294,0.311205,0.489698,-0.78603,-0.92472,0.14082,0.806239,1,3,0,1,2
44.5479,0.659009,0.326068,0.495821,0.358215,0.310985,0.487862,-0.845641,-0.926749,0.124279,0.792516,1,3,0,1,2
44.8449,0.662521,0.329474,0.502619,0.365355,0.310095,0.478709,-0.925184,-0.941729,0.068953,0.743233,1,3,0,1,2
45.1126,0.665995,0.332867,0.509452,0.370867,0.309601,0.477623,-0.943122,-0.949903,0.0313199,0.723766,1,3,0,1,2
45.4057,0.668018,0.33532,0.509265,0.375147,0.307117,0.470387,-0.973356,-0.958736,-0.0335753,0.656603,1,3,0,1,2
45.708,0.670299,0.339603,0.5158,0.382636,0.304065,0.478064,-0.967827,-0.957362,-0.0159726,0.706094,1,3,0,1,2
46.0015,0.672311,0.342053,0.51566,0.385549,0.304726,0.453615,-0.994085,-0.978676,-0.203465,0.444228,1,3,0,1,2
46.2965,0.676327,0.346958,0.515437,0.391118,0.301259,0.44621,-0.996601,-0.982347,-0.216021,0.405142,1,3,0,1,2
46.5956,0.677397,0.352185,0.522176,0.3968,0.30159,0.468271,-0.991007,-0.971672,-0.118756,0.603306,1,3,0,1,2
46.8962,0.680553,0.353648,0.521989,0.402495,0.300979,0.467625,-0.992791,-0.971254,-0.114303,0.594936,1,3,0,1,2
47.1864,0.683371,0.35954,0.522065,0.409231,0.299552,0.466587,-0.994668,-0.971456,-0.103948,0.605168,1,3,0,1,2
47.4496,0.684229,0.3629,0.521705,0.411747,0.300425,0.473487,-0.992841,-0.966712,-0.0853006,0.649221,1,3,0,1,2
47.7496,0.685246,0.368066,0.528541,0.416093,0.298017,0.465926,-0.996365,-0.975341,-0.0991625,0.641738,1,3,0,1,2
48.0452,0.687409,0.372218,0.535232,0.424162,0.298403,0.471871,-0.996277,-0.974514,-0.0854423,0.695613,1,3,0,1,2
