t,bead0x,bead0y,bead0z,bead1x,bead1y,bead1z,omega0,omega1,omega2,omega3,omega4,policy,input0,input1,rot
36.0829,0.323189,0.286946,0.179727,0.281666,0.703272,0.270459,-0.0063662,0.0063662,0.0063662,-0.0063662,-0.0063662,-1,0,1,0
36.4113,0.321358,0.284677,0.170846,0.278221,0.704162,0.260795,-0.0063662,0.0063662,0.0063662,-0.0063662,-0.0063662,-1,0,1,0
36.6766,0.321721,0.285102,0.159986,0.279773,0.705205,0.252803,-0.0063662,0.0063662,0.0063662,-0.0063662,-0.0063662,-1,0,1,0
36.9724,0.322689,0.28358,0.170537,0.279053,0.70383,0.243685,-0.0063662,0.0063662,0.0063662,-0.0063662,-0.0063662,-1,0,1,0
37.3052,0.321208,0.281691,0.150602,0.278319,0.702094,0.235491,-0.0063662,0.0063662,0.0063662,-0.0063662,-0.0063662,-1,0,1,0
37.5719,0.321208,0.281691,0.150602,0.278319,0.702094,0.235491,-0.0063662,0.0063662,0.0063662,-0.0063662,-0.0063662,-1,0,1,0
37.864,0.320222,0.283219,0.139869,0.2799,0.703491,0.226281,-0.0063662,0.0063662,0.0063662,-0.0063662,-0.0063662,-1,0,1,0
38.1617,0.320583,0.28364,0.128703,0.275611,0.702651,0.207747,-0.0063662,0.0063662,0.0063662,-0.0063662,-0.0063662,-1,0,1,0
38.4585,0.320947,0.284065,0.117432,0.275783,0.705061,0.198416,-0.0063662,0.0063662,0.0063662,-0.0063662,-0.0063662,-1,0,1,0
38.7211,0.317107,0.282505,0.118437,0.278613,0.702722,0.199183,-0.0063662,0.0063662,0.0063662,-0.0063662,-0.0063662,-1,0,1,0
39.0214,0.315744,0.283635,0.118797,0.276445,0.702296,0.18971,-0.0063662,0.0063662,0.0063662,-0.0063662,-0.0063662,-1,0,1,0
39.3163,0.316082,0.284061,0.107413,0.276445,0.702296,0.18971,-0.0063662,0.0063662,0.0063662,-0.0063662,-0.0063662,-1,0,1,0
39.6135,0.316082,0.284061,0.107413,0.276621,0.704725,0.180216,-0.0063662,0.0063662,0.0063662,-0.0063662,-0.0063662,-1,0,1,0
39.9108,0.314151,0.281694,0.0978819,0.275863,0.702937,0.171546,-0.0063662,0.0063662,0.0063662,-0.0063662,-0.0063662,-1,0,1,0
40.2078,0.315526,0.280551,0.0974993,0.277474,0.704383,0.161689,-0.0063662,0.0063662,0.0063662,-0.0063662,-0.0063662,-1,0,1,0
40.5038,0.314482,0.282112,0.0862799,0.275089,0.701499,0.161623,-0.0063662,0.0063662,0.0063662,-0.0063662,-0.0063662,-1,0,1,0
40.8044,0.314482,0.282112,0.0862799,0.275089,0.701499,0.161623,-0.0063662,0.0063662,0.0063662,-0.0063662,-0.0063662,-1,0,1,0
41.0652,0.314482,0.282112,0.0862799,0.272865,0.701061,0.151807,-0.0063662,0.0063662,0.0063662,-0.0063662,-0.0063662,-1,0,1,0
